Case,Country Code,Country Name,Family importance,Friend importance,Happiness,Life satisfaction,Religious,Suicide justifiability,Employment status,age,Level of Education,Live with Parents,Continent
8,36.0,Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
8,76.0,Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,152.0,Chile,0.9903288201160542,0.7253384912959381,0.7736943907156673,7.075435203094777,0.6286266924564797,2.137330754352031,1.1005802707930368,41.336557059961315,5.359767891682785,0.2978723404255319,1.0
8,156.0,China,0.9666666666666667,0.8261904761904761,0.7571428571428571,6.473809523809524,0.12142857142857143,1.5357142857142858,1.0,40.916666666666664,4.821428571428571,0.3619047619047619,5.0
8,170.0,Colombia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,276.0,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
8,288.0,Ghana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
8,356.0,India,0.9910358565737052,0.8575697211155379,0.7778884462151394,5.383466135458168,0.7808764940239044,2.639442231075697,1.1314741035856575,40.29482071713147,5.198207171314741,0.6344621513944223,7.0
8,368.0,Iraq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
8,392.0,Japan,0.9932885906040269,0.9373601789709173,0.8657718120805369,6.507829977628635,0.22371364653243847,3.2930648769574944,1.0178970917225951,47.10290827740492,7.131991051454139,0.32662192393736017,5.0
8,398.0,Kazakstan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
8,458.0,Malaysia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
8,504.0,Morocco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
8,528.0,Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
8,554.0,New-Zealand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
8,566.0,Nigeria,0.9970703125,0.916015625,0.9111328125,6.81640625,0.9619140625,1.6494140625,1.0810546875,30.82421875,5.400390625,0.439453125,4.0
8,586.0,Pakistan,0.9838509316770186,0.6186335403726708,0.7664596273291926,4.857142857142857,0.8645962732919255,1.1055900621118013,1.0596273291925467,39.00745341614907,4.53167701863354,0.5614906832298137,7.0
8,604.0,Peru,0.9941690962099126,0.5597667638483965,0.6676384839650146,6.380466472303207,0.8527696793002916,1.8542274052478134,1.1603498542274053,35.54373177842566,6.536443148688047,0.4708454810495627,1.0
8,616.0,Poland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
8,643.0,Russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
8,710.0,South-Africa,0.9936664320900774,0.7607318789584799,0.8092892329345531,6.377199155524279,0.7853624208304011,2.032371569317382,1.2294159042927515,37.954257565095006,5.438423645320197,0.33004926108374383,4.0
8,716.0,Zimbabwe,0.995850622406639,0.7925311203319502,0.5456431535269709,3.7863070539419086,0.8423236514522822,1.2904564315352698,1.329875518672199,33.79460580912863,4.151452282157677,0.3755186721991701,4.0
8,724.0,Spain,0.9868173258003766,0.9246704331450094,0.8870056497175142,7.024482109227872,0.5329566854990584,3.376647834274953,1.0960451977401129,44.772128060263654,4.653483992467043,0.288135593220339,3.0
8,752.0,Sweden,0.9625550660792952,0.9669603524229075,0.9383259911894273,7.676211453744493,0.3237885462555066,4.090308370044053,1.052863436123348,44.742290748898675,5.788546255506608,0.06607929515418502,3.0
8,764.0,Thailand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
8,818.0,Egypt,0.9960629921259843,0.8772965879265092,0.8884514435695539,5.354330708661418,0.9796587926509186,1.1535433070866141,1.087270341207349,39.808398950131235,4.490813648293964,0.4717847769028871,4.0
8,840.0,USA,0.9878296146044625,0.9574036511156186,0.9310344827586207,7.691683569979716,0.7768762677484787,2.6957403651115617,1.052738336713996,41.53346855983773,6.766734279918864,0.17849898580121704,2.0
8,858.0,Uruguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
